Breed Name,Description,Dog Size,Dog Breed Group,Height,"Avg. Height, cm",Weight,"Avg. Weight, kg",Life Span,"Avg. Life Span, years",Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All Around Friendliness,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Physical Needs,Energy Level,Intensity,Exercise Needs,Potential For Playfulness
Maltipoo,"Maltipoos are a mix of Maltese and Poodles, combining the breeds' small size and hypoallergenic coat. They are playful and affectionate dogs, often forming strong bonds with their families.
",Medium,Hybrid Dogs,8 to 14 inches tall at the shoulder,27.94,5 to 20 pounds,5.62,10 to 13 years,12,3.6,5,5,5,1,2,3,4.33,5,4,4,4,1.8,1,1,3,2,2,2,3.8,5,4,3,2,5,4,2.67,3,3,2,4
Manchester Terrier,"Manchester Terriers are small and sleek dogs known for their distinctive black and tan coat and spirited personality. They are intelligent and energetic companions, often excelling in various canine sports and activities.
",Medium,Terrier Dogs,15 to 16 inches tall at the shoulder,39.37,12 to 22 pounds,7.65,14 to 16 years,15,3,5,3,3,3,1,3,3.33,4,3,3,3,3,3,1,5,2,4,2,3.2,2,4,2,4,4,4,4,4,4,4,4
Maremma Sheepdog,"Maremma Sheepdogs are Italian livestock guardian dogs known for their thick white coat and protective nature. They are loyal and devoted companions, often serving as guardians for their families and livestock.
",Very Large,Working Dogs, 23.5 to 28.5 inches,38.74,65 to 100 pounds,37.12,11 to 13 years,12,2.4,1,1,4,2,4,2,4,4,4,4,1,4,5,3,2,5,5,4,2.2,1,5,2,1,2,2,4,4,4,4,2
Mastador,"Mastadors are a mix of Mastiffs and Labrador Retrievers, combining the breeds' size and gentle nature. They are loyal and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,28 to 36 inches,81.28,85 to 160 pounds ,55.12,10 to 12 years ,11,2.8,1,2,4,3,4,2,4.33,5,5,3,3,4,4,4,4,4,4,4,3.2,4,4,4,2,2,2,4,4,4,4,4
Mastiff,"Mastiffs are giant and powerful dogs known for their massive size and gentle demeanor. They are loyal and protective companions, often forming strong bonds with their families despite their imposing stature.
",Very Large,Working Dogs,27 to 32 inches tall at the shoulder,74.93,130 to 220 pounds,78.75,6 to 10 years,8,2.6,2,1,3,3,4,1,4,5,5,2,2,3.6,3,5,3,3,4,5,2.6,3,2,4,2,2,1,3.33,3,3,4,4
Miniature Pinscher,"Miniature Pinschers are small but spirited dogs known for their distinctive ""king of toys"" attitude and fearless nature. They are intelligent and energetic companions, often excelling in various canine sports and activities.
",Small,Companion Dogs,10 to 12 inches tall at the shoulder,27.94,8 to 11 pounds,4.28,10 to 14 years,12,3.2,5,3,5,2,1,3,3.33,5,3,2,3,3.2,2,1,5,3,5,1,3.2,3,3,2,3,5,5,3.67,4,3,4,5
Miniature Schnauzer,"Miniature Schnauzers are small and spirited dogs known for their distinctive beard and eyebrows and playful personality. They are intelligent and loyal companions, often forming strong bonds with their families.
",Medium,Terrier Dogs,13 to 14 inches tall at the shoulder,34.29,11 to 20 pounds,6.98,12 to 14 years,13,4,4,3,4,5,4,4,3.67,5,3,3,3,2.4,2,1,2,3,4,2,3.6,5,4,2,4,3,3,4.33,5,3,5,4
Morkie,"Morkies are a mix of Maltese and Yorkshire Terriers, combining the breeds' small size and affectionate nature. They are playful and sociable dogs, often forming strong bonds with their families.
",Small,Mixed Breed Dogs,4 to 8 inches,15.24,7 to 13 pounds,4.5,10 to 14 years,12,2.4,3,2,3,2,2,3,3,4,3,2,3,2.6,1,1,3,4,4,1,4,3,4,5,3,5,2,3.67,4,3,4,5
Mountain Cur,"Morkies are a mix of Maltese and Yorkshire Terriers, combining the breeds' small size and affectionate nature. They are playful and sociable dogs, often forming strong bonds with their families.
",Very Large,Working Dogs,16 to 26 inches,53.34,30 to 60 pounds,20.25,10 to 16 years,13,2.2,1,1,3,2,4,4,3.67,4,4,3,2,2.6,2,1,4,5,1,4,3.2,2,4,2,5,3,4,4.33,4,4,5,4
Mountain Feist,"Mountain Feists are American hunting dogs known for their small size and lively temperament. They are intelligent and energetic companions, often excelling in various hunting and outdoor activities.
",Medium,Terrier Dogs,10 to 22 inches,40.64,10 to 30 pounds,9,10 to 18 years,14,2.8,2,1,4,3,4,3,3.67,5,3,3,2,3.4,3,4,5,4,1,2,3.8,3,3,4,5,4,4,4,4,4,4,5
Mudi,"Mudis are Hungarian herding dogs known for their agility and versatility. They are intelligent and energetic companions, often excelling in various canine sports and activities.
",Medium,Herding Dogs,14 to 20 inches,43.18,18 to 29 pounds,10.58,12 to 14 years,13,3,2,4,4,2,3,3,2.67,4,2,2,2,2.8,3,1,4,4,2,2,4,5,4,3,4,4,4,3.33,4,2,4,4
Neapolitan Mastiff,"Neapolitan Mastiffs are giant and wrinkled dogs known for their imposing appearance and protective nature. They are loyal and devoted companions, often forming strong bonds with their families.
",Very Large,Working Dogs,24 to 31 inches tall at the shoulder,69.85,120 to 200 pounds,72,8 to 10 years,9,1.8,2,1,4,1,1,2,3.67,5,4,2,1,3.6,3,5,3,2,5,5,2,3,3,2,1,1,1,2.33,3,1,3,4
Newfoundland,"Newfoundlands are giant and gentle dogs known for their thick coat and sweet temperament. They are affectionate and loyal companions, often serving as water rescue dogs and family pets.
",Very Large,Working Dogs,25 inch to 29 inches tall at the shoulder,68.58,100 to 150 pounds,56.25,8 to 10 years,9,2.8,1,3,4,1,5,2,4.67,5,5,4,4,3.4,5,5,2,1,4,5,4,5,4,3,4,4,3,2.33,3,1,3,4
Norfolk Terrier,"Norfolk Terriers are small and spirited dogs known for their wire coat and lively personality. They are intelligent and energetic companions, often forming strong bonds with their families.
",Small,Terrier Dogs,9 to 10 inches tall at the shoulder,24.13,11 to 12 pounds,5.18,12 to 15 years,14,4,4,5,4,3,4,4,4.67,5,4,5,4,3.2,1,1,4,5,5,1,3,5,4,2,1,3,4,4,4,4,4,5
Northern Inuit Dog,"Northern Inuit Dogs are British sled dogs known for their wolf-like appearance and gentle nature. They are loyal and devoted companions, often forming strong bonds with their families.
",Very Large,Hybrid Dogs,23 to 32 inches,69.85,55 to 110 pounds,37.12,12 to 15 years,14,2.4,1,1,4,1,5,3,4,5,4,3,5,2.8,5,1,2,4,2,4,3.8,2,4,4,4,5,5,4.67,5,4,5,5
Norwegian Buhund,"Norwegian Buhunds are Norwegian herding dogs known for their dense coat and alert nature. They are intelligent and energetic companions, often excelling in various canine sports and activities.
",Large,Herding Dogs,16 to 18 inches tall at the shoulder,43.18,26 to 40 pounds,14.85,12 to 15 years,14,3.6,3,3,3,4,5,2,4.33,5,5,3,3,2.6,3,1,2,4,3,3,3.2,4,3,3,2,4,4,4.33,4,4,5,5
Norwegian Elkhound,"Norwegian Elkhounds are Norwegian hunting dogs known for their silver-gray coat and independent nature. They are loyal and courageous companions, often excelling in hunting and tracking activities.
",Very Large,Hound Dogs,19 to 20 inches tall at the shoulder,49.53,44 to 51 pounds,21.38,12 to 15 years,14,3.8,4,4,4,2,5,3,4.33,5,4,4,4,3.4,5,1,3,4,4,3,3.4,2,4,3,4,4,4,4.33,5,3,5,4
Norwegian Lundehund,"Norwegian Lundehunds are Norwegian hunting dogs known for their unique ability to bend their necks backward. They are intelligent and agile companions, often forming strong bonds with their families.
",Medium,Working Dogs,12 inches to 15 inches tall at the shoulder,34.29,13 to 16 pounds,6.52,10 to 12 years,11,2.4,1,1,3,2,5,3,5,5,5,5,5,3.2,5,1,4,3,3,3,3,4,5,3,2,1,5,4.33,4,4,5,5
Norwich Terrier,"Norwich Terriers are small and spirited dogs known for their prick ears and affectionate nature. They are intelligent and energetic companions, often forming strong bonds with their families.
",Medium,Terrier Dogs,Up to 10 inches tall at the shoulder,25.4,Up to 12 pounds,5.4,10 to 14 years,12,3.6,5,3,4,2,4,4,5,5,5,5,5,2.8,2,1,2,4,5,1,3.8,4,4,4,3,4,4,4.33,5,4,4,5
Nova Scotia Duck Tolling Retriever,"Nova Scotia Duck Tolling Retrievers are Canadian sporting dogs known for their red coat and enthusiastic personality. They are intelligent and versatile companions, often excelling in hunting and retrieving activities.
",Large,Sporting Dogs,17 inches to 21 inches tall at the shoulder,48.26,35 to 50 pounds,19.12,10 to 14 years,12,3.4,5,3,3,2,4,4,4.67,5,5,4,4,3.4,3,1,5,4,4,3,4.4,4,5,4,5,4,3,4.33,5,3,5,5
Old English Sheepdog,"Old English Sheepdogs are large and shaggy dogs known for their distinctive coat and friendly nature. They are affectionate and playful companions, often forming strong bonds with their families.
",Very Large,Herding Dogs,Up to 22 inches long,55.88,80 to 100 pounds,40.5,10 to 12 years,11,3.8,5,4,4,2,4,2,4.33,5,4,4,4,2.8,1,4,1,4,4,4,2.6,3,4,2,3,1,2,3.67,4,3,4,4
Otterhound,"Otterhounds are British scent hounds known for their distinctive ""otter-like"" appearance and excellent scenting ability. They are intelligent and sociable companions, often forming strong bonds with their families.
",Very Large,Hound Dogs,24 to 27 inches tall,64.77,80 to 115 pounds,43.88,10 to 12 years,11,3.2,1,4,2,5,4,3,5,5,5,5,4,2.8,4,1,2,4,3,4,3.2,2,4,3,5,2,5,4.67,5,4,5,5
Papillon,"Papillons are small and elegant dogs known for their butterfly-like ears and lively personality. They are intelligent and affectionate companions, often excelling in various canine sports and activities.
",Small,Companion Dogs,8 to 11 inches tall at the shoulder,24.13,4 to 9 pounds,2.92,12 to 16 years,14,3.2,5,5,3,1,2,4,4,5,3,4,5,2.4,2,1,3,3,3,1,3.6,5,4,3,4,2,1,4,4,3,5,5
Papipoo,"Papipoos are a mix of Papillons and Poodles, combining the breeds' small size and affectionate nature. They are playful and sociable dogs, often forming strong bonds with their families.
",Small,Mixed Breed Dogs,10 to 11 inches,26.67,6 to 14 pounds,4.5,10 to 14 years,12,3.4,5,5,4,1,2,4,4,5,3,4,4,2,1,1,2,3,3,1,3.6,5,5,3,3,2,2,4.33,5,3,5,5
Patterdale Terrier,"Patterdale Terriers are small but sturdy dogs known for their hunting prowess and fearless nature. They are intelligent and energetic companions, often excelling in various canine sports and activities.
",Medium,Terrier Dogs,12 to 15 inches,34.29,11 to 13 pounds ,5.4,11 to 14 years,12,2.4,1,2,4,1,4,4,4,4,4,4,4,2.8,2,1,4,4,3,2,3.8,3,5,4,5,2,4,4,4,4,4,4
Peekapoo,"Peekapoos are a mix of Pekingese and Poodles, combining the breeds' small size and affectionate nature. They are playful and sociable dogs, often forming strong bonds with their families.
",Medium,Hybrid Dogs,Up to 11 inches tall at the shoulder,27.94,4 to 20 pounds,5.4,10 to 15 years,12,3.8,5,5,4,2,3,2,4.33,5,4,4,3,2.4,2,1,2,3,4,1,3.6,3,4,4,3,4,1,2.67,3,2,3,4
Pekingese,"Pekingese are small and dignified dogs known for their distinctive ""lion-like"" appearance and independent nature. They are affectionate and loyal companions, often forming strong bonds with their families.
",Small,Companion Dogs,6 to 9 inches tall at the shoulder,19.05,7 to 14 pounds,4.73,12 to 15 years,14,3.6,5,4,2,3,4,1,3,5,2,2,2,2.2,4,1,1,2,3,1,3.8,3,4,3,5,4,3,1.67,2,1,2,3
Pembroke Welsh Corgi,"Pembroke Welsh Corgis are small herding dogs known for their short legs and long body. They are intelligent and energetic companions, often excelling in herding trials and activities.
",Large,Herding Dogs,10 to 12 inches tall at the shoulder,27.94,Up to 30 pounds,13.5,12 to 14 years,13,3.8,4,4,4,3,4,3,4,5,4,3,5,3.4,5,1,4,3,4,2,4,5,5,2,3,5,2,3.67,4,3,4,4
Petit Basset Griffon VendÃ©en,"Petit Basset Griffon Vendéens are French scent hounds known for their lively personality and distinctive coat. They are intelligent and spirited companions, often excelling in hunting and scent-based activities.
",Large,Hound Dogs,13 to 15 inches tall at the shoulder,35.56,30 to 40 pounds,15.75,Starts at 14 years,14,3.4,4,3,3,3,4,3,5,5,5,5,5,2.8,4,1,2,3,4,2,3.6,1,4,3,5,5,5,4.67,5,4,5,5
Pharaoh Hound,"Pharaoh Hounds are ancient Egyptian hunting dogs known for their sleek build and independent nature. They are intelligent and athletic companions, often forming strong bonds with their families.
",Very Large,Hound Dogs,21 to 25 inches tall at the shoulder,58.42,45 to 55 pounds,22.5,11 to 14 years,12,3.2,4,4,5,2,1,5,5,5,5,5,4,3,2,1,4,5,3,3,4,3,4,4,5,4,4,3,2,3,4,4
Pitsky,"Pitskys are a mix of American Pit Bull Terriers and Siberian Huskies, combining the breeds' strength and intelligence. They are loyal and energetic dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,16 to 25 inches ,52.07,30 to 80 pounds ,24.75,12 to 16 years ,14,2.2,2,1,4,1,3,3,4.33,5,5,3,5,3,4,2,3,4,2,3,3.4,3,3,4,3,4,4,4.33,4,4,5,5
Plott,"Plotts are American hunting dogs known for their stamina and determination. They are intelligent and driven companions, often excelling in hunting and tracking activities.
",Very Large,Hound Dogs,20 to 27 inches tall at the shoulder,59.69,40 to 75 pounds,25.88,12 to 14 years,13,2,1,1,4,2,2,4,4,4,3,5,3,3.2,2,1,5,5,3,3,3.2,4,3,3,5,1,5,4.33,4,4,5,3
Pocket Beagle,"Pocket Beagles are smaller versions of Beagles, known for their compact size and friendly nature. They are energetic and affectionate companions, often forming strong bonds with their families.
",Small,Hound Dogs,7 to 12 inches tall at the shoulder,24.13,7 to 15 pounds,4.95,Starts at 10 years,10,3,4,3,4,2,2,4,5,5,5,5,4,3.4,3,1,5,3,5,2,3.8,3,4,4,3,5,5,4,4,4,4,4
Pointer,"Pointers are athletic and versatile hunting dogs known for their keen sense of smell and stamina. They are intelligent and loyal companions, often excelling in various hunting and field activities.
",Very Large,Sporting Dogs,23 inches to 28 inches tall at the shoulder,64.77,45 to 75 pounds,27,12 to 15 years,14,1.6,1,1,3,1,2,4,5,5,5,5,5,3,3,1,5,3,3,3,4.6,5,5,5,5,3,5,5,5,5,5,5
Polish Lowland Sheepdog,"Polish Lowland Sheepdogs are medium-sized herding dogs known for their shaggy coat and cheerful demeanor. They are intelligent and agile companions, often excelling in herding and obedience activities.
",Very Large,Herding Dogs,17 to 20 inches tall at the shoulder,46.99,35 to 55 pounds,20.25,10 to 12 years,11,3.4,4,2,4,3,4,4,4,5,4,3,3,2,1,1,1,4,3,3,3.2,4,4,3,3,2,3,3.67,4,3,4,4
Pomapoo,"Pomapoos are a mix of Pomeranians and Poodles, combining the breeds' small size and affectionate nature. They are playful and outgoing dogs, often forming strong bonds with their families.
",Small,Mixed Breed Dogs,8 to 10 inches,22.86,5 to 15 pounds,4.5,12 to 15 years ,14,3.6,5,5,4,1,3,2,3.67,5,3,3,3,2.4,3,1,1,3,4,1,3.2,4,4,3,2,3,1,3,3,3,3,4
Pomchi,"Pomchis are a mix of Pomeranians and Chihuahuas, combining the breeds' small size and lively personality. They are affectionate and spirited dogs, often forming strong bonds with their families.
",Small,Mixed Breed Dogs,6 to 10 inches,20.32,4 to 12 pounds,3.6,12 to 18 years,15,3,4,3,3,3,2,4,3.33,4,3,3,3,3,3,1,2,5,4,1,3.6,3,4,4,3,4,3,3.33,3,4,3,4
Pomeagle,"Pomeagles are a mix of Pomeranians and Beagles, combining the breeds' small size and friendly nature. They are energetic and affectionate dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,6 to 11 inches ,21.59,5 to 25 pounds ,6.75,12 to 15 years ,14,3.2,4,4,4,1,3,2,3.67,5,3,3,3,2.8,4,1,2,3,4,1,3.2,3,2,3,3,5,4,3.33,4,3,3,4
Pomeranian,"Pomeranians are small and fluffy dogs known for their vibrant personality and luxurious coat. They are lively and confident companions, often forming strong bonds with their families.
",Very Small,Companion Dogs,7 to 12 inches tall at the shoulder,24.13,3 to 7 pounds,2.25,12 to 16 years,14,3.4,4,4,4,1,4,2,3,5,2,2,3,2.8,4,1,2,3,4,1,3.4,4,4,2,2,5,1,2.33,3,2,2,3
Pomsky,"Pomskies are a mix of Pomeranians and Siberian Huskies, combining the breeds' small size and fluffy appearance. They are playful and energetic dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,10 to 15 inches,31.75,7 to 38 pounds,10.12,12 to 15 years,14,3.4,5,2,4,1,5,3,3.33,5,2,3,3,2.6,4,1,2,3,3,2,3.8,3,4,3,4,5,2,3,4,2,3,4
Poochon,"Poochons are a mix of Poodles and Bichon Frises, combining the breeds' small size and affectionate nature. They are playful and sociable dogs, often forming strong bonds with their families.
",Small,Mixed Breed Dogs,9 to 15 inches ,30.48,6 to 17 pounds ,5.18,12 to 15 years,14,3.8,5,5,5,1,3,4,4.67,5,5,4,4,2,1,1,1,3,4,2,3.4,5,4,3,3,2,2,3.67,4,3,4,5
Poodle,"Poodles are intelligent and elegant dogs known for their curly coat and versatile skills. They come in three sizes (Standard, Miniature, and Toy) and excel in various activities such as obedience, agility, and therapy work.
",Large,Companion Dogs,From 10 to over 22 inches tall at the shoulder,40.64,6 to 70 pounds,17.1,12 to 15 years,14,3.6,5,5,4,1,3,4,4.67,5,5,4,4,1.8,1,1,1,2,4,4,3.6,5,5,4,2,2,3,3.67,4,3,4,5
Portuguese Podengo Pequeno,"Portuguese Podengo Pequenos are small and agile hunting dogs known for their endurance and keen sense of smell. They are intelligent and independent companions, often excelling in hunting and tracking activities.
",Small,Hound Dogs,8 to 12 inches,25.4,9 to 13 pounds,4.95,12 to 15 years,14,3.4,5,4,3,3,2,3,4,4,4,4,4,2.8,3,1,4,4,2,1,3.6,4,3,3,4,4,3,3.67,5,3,3,3
Portuguese Pointer,"Portuguese Pointers are versatile hunting dogs known for their athleticism and determination. They are intelligent and loyal companions, often excelling in various hunting and field trials.
",Very Large,Sporting Dogs,20 to 22 inches,53.34,35 to 59 pounds,21.15,12 to 14 years,13,2,1,1,4,1,3,3,3.33,4,4,2,4,3.2,1,3,4,4,4,3,3.4,4,4,3,4,2,3,4.33,4,5,4,4
Portuguese Sheepdog,"Portuguese Sheepdogs are herding dogs known for their thick coat and tireless work ethic. They are intelligent and loyal companions, often excelling in herding and obedience activities.
",Very Large,Herding Dogs,16 to 22 inches ,48.26,37 to 59 pounds ,21.6,12 to 13 years ,12,2.8,2,2,4,2,4,3,4,4,4,4,2,3.2,2,1,4,5,4,4,3.4,3,5,3,2,4,2,3.67,4,3,4,3
Portuguese Water Dog,"Portuguese Water Dogs are medium-sized working dogs known for their curly coat and strong swimming ability. They are intelligent and energetic companions, often excelling in water sports and activities.
",Very Large,Working Dogs,17 inches to 23 inches tall at the shoulder,50.8,35 to 60 pounds,21.38,10 to 14 years,12,3.4,4,3,4,2,4,3,5,5,5,5,3,2.2,1,1,2,4,3,3,4,4,5,5,3,3,3,4.33,5,3,5,5
Pudelpointer,"Pudelpointers are versatile hunting dogs known for their intelligence and versatility. They are loyal and eager companions, often excelling in various hunting and field trials.
",Very Large,Working Dogs,21 to 27 inches,60.96,40 to 65 pounds,23.62,10 to 14 years,12,2.2,2,3,1,2,3,3,3.33,4,3,3,3,3,3,2,3,4,3,4,3.4,4,4,3,4,2,4,4,4,3,5,3
Pug,"Pugs are charming and affectionate dogs known for their wrinkled face and playful personality. They are loving and social companions, often forming strong bonds with their families.
",Medium,Companion Dogs,10 to 14 inches tall at the shoulder,30.48,14 to 18 pounds,7.2,12 to 15 years,14,3.2,5,5,3,1,2,1,4.33,5,4,4,4,3.4,5,1,5,1,5,2,2.4,3,2,2,3,2,2,3.33,3,4,3,5
Pugalier,"Pugaliers are a mix of Pugs and Cavalier King Charles Spaniels, combining the breeds' affectionate nature and playful demeanor. They are gentle and sociable dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,10 to 14 inches,30.48,10 to 20 pounds,6.75,12 to 15 years ,14,3.8,5,5,5,2,2,2,5,5,5,5,5,3.4,4,1,4,3,5,2,3.2,4,3,3,3,3,2,3,3,3,3,5
Puggle,"Puggles are a mix of Pugs and Beagles, combining the breeds' friendly nature and outgoing personality. They are affectionate and playful dogs, often forming strong bonds with their families.
",Medium,Hybrid Dogs,13 to 15 inches tall at the shoulder,35.56,18 to 30 pounds,10.8,10 to 15 years,12,3.6,4,5,3,3,3,3,4.33,3,5,5,5,3.6,3,1,5,4,5,2,2.8,2,3,3,2,4,5,2.67,3,2,3,3
Puginese,"Pugineses are a mix of Pugs and Pekingese, combining the breeds' affectionate nature and distinctive appearance. They are loyal and loving companions, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,6 to 14 inches,25.4,7 to 18 pounds,5.62,12 to 14 years,13,4,5,3,5,4,3,1,3,4,3,2,2,3.2,3,1,4,3,5,2,2.25,2,2,2,,3,1,3,3,3,3,4
Puli,"Pulis are Hungarian herding dogs known for their distinctive corded coat and lively personality. They are intelligent and agile companions, often excelling in herding and obedience activities.
",Large,Herding Dogs,16 to 17 inches tall at the shoulder,41.91,25 to 35 pounds,13.5,10 to 15 years,12,3,4,1,4,2,4,3,5,5,5,5,2,2.2,1,1,1,5,3,3,3.4,2,4,3,4,4,5,5,5,5,5,5
Pyredoodle,"Pyredoodles are a mix of Great Pyrenees and Poodles, combining the breeds' size and intelligence. They are gentle and loyal dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,15 to 32 inches,59.69,85 to 100 pounds,41.62,10 to 12 years,11,3.4,3,4,3,3,4,3,4.33,5,4,4,3,2.8,2,2,3,4,3,4,3.2,3,5,3,2,3,5,3.67,4,3,4,5
Pyrenean Mastiff,"Pyrenean Mastiffs are Spanish livestock guardian dogs known for their massive size and protective nature. They are calm and loyal companions, often serving as guardians for their families and livestock.
",Very Large,Working Dogs,24 to 31 inches,69.85,130 to 200 pounds,74.25,10 to 13 years,12,3.2,2,2,4,4,4,3,4,4,4,4,1,3.4,3,5,3,4,2,5,2.8,3,4,2,2,3,1,3.67,4,4,3,3
Pyrenean Shepherd,"Pyrenean Shepherds are French herding dogs known for their agility and intelligence. They are energetic and loyal companions, often excelling in herding and obedience activities.
",Large,Herding Dogs,15 to 21 inches tall at the shoulder,45.72,25 to 30 pounds,12.38,15 to 17 years,16,3.2,5,2,4,1,4,3,4,5,5,2,2,2.4,3,1,3,2,3,2,3.6,2,4,3,4,5,2,4.67,4,5,5,5
Rat Terrier,"Rat Terriers are small but spirited dogs known for their hunting prowess and feisty personality. They are intelligent and energetic companions, often excelling in various canine sports and activities.
",Medium,Terrier Dogs,13 to 16 inches tall at the shoulder,36.83,10 to 25 pounds,7.88,13 to 18 years,16,3.2,5,3,4,3,1,4,4,4,5,3,4,3.4,4,1,5,4,3,1,3.8,5,4,2,4,4,4,4.33,5,4,4,5
Redbone Coonhound,"Redbone Coonhounds are American hunting dogs known for their sleek coat and melodious voice. They are intelligent and determined companions, often excelling in hunting and tracking activities.
",Very Large,Hound Dogs,21 to 27 inches tall at the shoulder,60.96,45 to 70 pounds,25.88,10 to 12 years,11,3.2,4,2,5,2,3,2,4.67,5,5,4,3,3.4,2,4,5,3,3,3,3.8,3,4,4,4,4,5,4.33,4,4,5,5
Rhodesian Ridgeback,"Rhodesian Ridgebacks are African hunting dogs known for their distinctive ""ridge"" of hair along their back and courageous nature. They are loyal and independent companions, often forming strong bonds with their families.
",Very Large,Hound Dogs,24 to 27 inches tall at the shoulder,64.77,70 to 85 pounds,34.88,10 to 12 years,11,2.4,1,2,4,2,3,3,4.33,5,4,4,3,3.4,4,1,5,4,3,4,3,2,4,3,5,1,5,4.33,4,4,5,5
Rottador,"Rottadors are a mix of Rottweilers and Labrador Retrievers, combining the breeds' strength and intelligence. They are loyal and protective dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,24 to 27 inches,64.77,70 to 115 pounds,41.62,10 to 12 years,11,3,3,2,5,1,4,3,4,5,4,3,3,4,4,4,5,2,5,4,4,4,5,4,3,4,3,5,5,5,5,5
Rottle,"Rottles are a mix of Rottweilers and Poodles, combining the breeds' intelligence and affectionate nature. They are loyal and playful companions, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,12 to 27 inches,49.53,60 to 90 pounds,33.75,9 to 15 years,12,3.2,4,3,3,3,3,3,4,5,4,3,3,3,2,2,4,4,3,3,3.6,5,5,3,3,2,2,3.67,4,3,4,5
Rottweiler,"Rottweilers are strong and loyal dogs known for their protective nature and distinctive markings. They are confident and devoted companions, often serving as guardians for their families.
",Very Large,Working Dogs,22 to 27 inches tall at the shoulder,62.23,85 to 130 pounds,48.38,8 to 11 years,10,2,2,1,4,1,2,3,3.67,5,4,2,4,4,4,4,5,2,5,3,4,4,5,3,4,4,2,4,4,4,4,5
Saint Berdoodle,"Saint Berdoodles are a mix of Saint Bernards and Poodles, combining the breeds' size and intelligence. They are gentle and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,15 to 30 inches,57.15,40 to 180 pounds,49.5,8 to 12 years,10,3.2,2,5,3,2,4,3,5,5,5,5,4,3,3,1,4,4,3,4,3.4,4,4,3,3,3,3,3,3,3,3,3
Saint Bernard,"Saint Bernards are giant and gentle dogs known for their massive size and kind temperament. They are affectionate and loyal companions, often serving as therapy dogs and family pets.
",Very Large,Working Dogs,26 inches to 30 inches tall at the shoulder,71.12,120 to 180 pounds,67.5,8 to 10 years,9,3,3,2,4,1,5,1,5,5,5,5,5,3.4,4,5,2,2,4,5,2.2,2,4,3,1,1,2,2.33,3,2,2,4
Saluki,"Salukis are elegant and swift sighthounds known for their grace and athleticism. They are independent and dignified companions, often forming strong bonds with their families.
",Very Large,Hound Dogs,23 to 28 inches tall at the shoulder,64.77,35 to 70 pounds,23.62,12 to 14 years,13,2.2,1,2,5,1,2,3,4.33,5,4,4,1,2.4,2,1,4,4,1,4,3.6,4,4,4,5,1,5,4,5,2,5,5
Samoyed,"Samoyeds are fluffy and friendly dogs known for their white coat and cheerful demeanor. They are affectionate and playful companions, often forming strong bonds with their families.
",Very Large,Working Dogs,19 inches to 24 inches tall at the shoulder,54.61,50 to 60 pounds,24.75,12 to 14 years,13,3,2,2,4,2,5,1,5,5,5,5,5,3,5,2,1,3,4,3,3.4,3,3,3,5,3,4,4,5,2,5,5
Samusky,"Samuskies are a mix of Samoyeds and Siberian Huskies, combining the breeds' fluffy appearance and friendly nature. They are energetic and sociable dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,20 to 24 inches,55.88,45 to 60 pounds,23.62,12 to 15 years,14,3,2,3,3,2,5,3,4.33,4,5,4,4,3,4,2,2,3,4,4,3.2,3,5,3,3,2,4,4,5,3,4,5
Schipperke,"Schipperkes are small and spirited dogs known for their distinctive black coat and lively personality. They are intelligent and energetic companions, often excelling in various canine sports and activities.
",Medium,Companion Dogs,10 to 15 inches tall at the shoulder,31.75,11 to 18 pounds,6.52,13 to 15 years,14,3.2,4,2,4,3,3,2,3.67,4,5,2,2,3.6,3,1,5,4,5,1,3,2,4,3,2,4,5,4.33,5,3,5,5
Schnoodle,"Schnoodles are a mix of Schnauzers and Poodles, combining the breeds' intelligence and hypoallergenic coat. They are playful and affectionate dogs, often forming strong bonds with their families.
",Very Large,Hybrid Dogs,10 to 26 inches tall at the shoulder,45.72,20 to 75 pounds,21.38,10 to 15 years,12,3.2,3,5,4,2,2,4,4,4,5,3,3,2.8,2,1,4,3,4,4,3.4,4,5,3,3,2,3,3.67,4,3,4,4
